 0.1 0.000055457884
 0.2 0.00044132397
 0.3 0.0014763701
 0.4 0.0034563716
 0.5 0.0066432892
 0.6 0.011255258
 0.7 0.017457616
 0.8 0.025355209
 0.90000004 0.034986135
 1. 0.046317134
 1.1 0.059240744
 1.2 0.07357424
 1.3000001 0.089060605
 1.4 0.10537123
 1.5 0.122110784
 1.6 0.13882363
 1.7 0.1550021
 1.8000001 0.17009652
 1.9 0.18352619
 2. 0.19469216
 2.1000001 0.20299044
 2.2 0.20782612
 2.3 0.20862809
 2.4 0.20486344
 2.5 0.19605213
 2.6000001 0.18178086
 2.7 0.16171628
 2.8 0.13561709
 2.9 0.103344664
 3. 0.06487254
 3.1000001 0.020293029
 3.2 -0.030176802
 3.3 -0.08619284
 3.4 -0.14728303
 3.5 -0.2128487
 3.6000001 -0.28216982
 3.7 -0.35441047
 3.8 -0.4286291
 3.9 -0.50378966
 4. -0.57877415
 4.1 -0.6524001
 4.2000003 -0.7234367
 4.3 -0.79062337
 4.4 -0.8526911
 4.5 -0.90838236
 4.6 -0.956473
 4.7000003 -0.995794
 4.8 -1.0252522
 4.9 -1.0438522
 5. -1.0507159
 5.1 -1.0451008
 5.2000003 -1.0264173
 5.3 -0.99424356
 5.4 -0.9483382
 5.5 -0.88865024
 5.6 -0.81532675
 5.7000003 -0.72871614
 5.8 -0.629372
 5.9 -0.51804763
 6. -0.39569336
 6.1 -0.2634472
 6.2000003 -0.12262271
 6.3 0.02530262
 6.4 0.17870902
 6.5 0.33585164
 6.6 0.49488366
 6.7000003 0.65388125
 6.8 0.8108668
 6.9 0.9638404
 7. 1.1108054
 7.1 1.2497975
 7.2000003 1.3789139
 7.3 1.4963396
 7.4 1.6003774
 7.5 1.6894727
 7.6 1.7622371
 7.7000003 1.8174714
 7.8 1.854184
 7.9 1.8716096
 8. 1.8692209
 8.1 1.84674
 8.2 1.8041457
 8.3 1.7416738
 8.400001 1.6598206
 8.5 1.5593361
 8.6 1.4412136
 8.7 1.3066849
 8.8 1.1571953
 8.900001 0.9943949
 9. 0.8201127
 9.1 0.6363279
 9.2 0.44515485
 9.3 0.24880084
 9.400001 0.04954886
 9.5 -0.15027863
 9.6 -0.34835702
 9.7 -0.54237807
 9.8 -0.73009586
 9.900001 -0.9093443
 10. -1.0780725
